hostname,user,date,msg,stat,cur_log
'zjk-laptop','zjk','2024-04-04 10:50:08','none','success','a4aba276448a8450f4859fdd58b6cc577fd8f440 none'
'zjk-laptop','zjk','2024-04-04 11:51:20','none','success','0c333fdf4f2c02f2196855a2ff8105adde5486cc none'
'zjk-laptop','zjk','2024-04-04 13:56:14','thread','success','4fa3c25e3bac093dd86a289267b1c4be7554924a thread'
'zjk-laptop','zjk','2024-04-04 13:57:27','none','success','63d005a3f1ccf8d84cb72a34360682bf6f04e823 none'
'zjk-laptop','zjk','2024-04-04 16:07:35','sort','success','6c3b904ba98cfaa0f09a72dcc3325f97619d3226 sort'
'zjk-laptop','zjk','2024-04-04 16:58:48','db','success','758c6f221a1b0b49517454c5fd988ae387e3749a db'
'zjk-laptop','zjk','2024-04-04 19:58:46','op-num','success','a9111ca1ab2d7e6b2714301741e83e06e1b8b55a op-num'
'zjk-laptop','zjk','2024-04-04 20:08:52','op-number','success','03760fa9f6025ffecd99d464f4e6e4499ad6cc06 op-number'
'zjk-laptop','zjk','2024-04-04 22:16:56','review','success','7699c221bcef280baad2b2555dab97cf0200119d review'
'zjk-laptop','zjk','2024-04-05 00:14:45','oracle','success','2695deb098e39ca2e0a71f3f2a4535816e585c9a oracle'
'zjk-laptop','zjk','2024-04-05 10:34:34','none','success','d04604ba92c1fef601162b0c72bea7e99f364138 none'
'zjk-laptop','zjk','2024-04-05 13:50:47','syn','success','1fd55d5759aa492157388c1675d0874cb3667725 syn'
'zjk-laptop','zjk','2024-04-05 17:53:27','captin','success','85da27171bae0882debc377e9f6e8bea2aa82bc5 captin'
'zjk-laptop','zjk','2024-04-06 01:47:14','mysql','success','4feca2dcab4e6abf0604f961384186d3e0ec4921 mysql'
'zjk-laptop','zjk','2024-04-06 11:08:57','none','success','073344415b67565a5125dd6caa02432cfc009607 none'
'zjk-laptop','zjk','2024-04-06 15:14:32','vue','success','12393c3eb109094abfd138dd58ca10e58c577185 vue'
'zjk-laptop','zjk','2024-04-06 17:34:23','db','success','bafb60e2caf979393e2ffee459296201d7f0b827 db'
'zjk-laptop','zjk','2024-04-06 20:46:08','pre','success','74515798e3cb91077c4da9da2636b2ef1373624f pre'
'zjk-laptop','zjk','2024-04-06 21:01:18','pro','success','c9f069ae73ca27573fc2e60e96c2875b1236db63 pro'
'zjk-laptop','zjk','2024-04-07 00:13:19','dialog','success','1b480e01f8c1b177024ee44733cb79fc70f68ed9 dialog'
'zjk-laptop','zjk','2024-04-07 12:27:59','none','success','902a6a96285b15b2ae0f0c5e40458e4aa67b1b02 none'
'zjk-laptop','zjk','2024-04-07 16:15:19','vue-spring','success','c0ff3b488c9c08310d7c194136295485a4eb2ba6 vue-spring'
'zjk-laptop','zjk','2024-04-07 16:45:34','axios','success','b77c244163adad30567f4befb75826439a8d470f axios'
'zjk-laptop','zjk','2024-04-07 16:53:38','none','success','82084cbeb103b699489a53a55229b04f0d2b0b2e none'
'zjk-laptop','zjk','2024-04-08 01:15:43','none','success','428900b5ee15ce2946ff40d6115d4615a746731f none'
'zjk-laptop','zjk','2024-04-08 11:11:02','none','success','ebc0660f9376e96ee3f73938d7976d5185ee06e3 none'
'zjk-laptop','zjk','2024-04-08 13:29:31','vue-spring-axios-get','success','bac3b88f28e3f50dc451809fb9baa1796424b87d vue-spring-axios-get'
'zjk-laptop','zjk','2024-04-08 19:53:23','none','success','007262689bb437ac3dd1a1d844cbb9dd2b1c55b5 none'
'zjk-laptop','zjk','2024-04-09 00:39:29','er','success','ae7d53579e9b8140565923500010983fb3463f46 er'
'zjk-laptop','zjk','2024-04-09 11:09:01','vue','success','5344cad1d6ef052e6a29e55a1a23459c627b9bcf vue'
'zjk-laptop','zjk','2024-04-09 12:57:09','dm','success','befb260a4287054aeb84550ca7800a9a33c0259e dm'
'zjk-laptop','zjk','2024-04-09 13:53:30','none','success','b32209ab04a342e36eafaf6e08e2d24e9006c59d none'
'zjk-laptop','zjk','2024-04-09 19:04:00','none','success','262fa0c114024ae3e961e5e9825c6ac6989f3f29 none'
'zjk-laptop','zjk','2024-04-10 00:53:36','wikijs','success','945177d7612848a77aa315d5ffba86ad33cab7e2 wikijs'
'zjk-laptop','zjk','2024-04-10 12:28:18','dm','success','d8e270797c46f3c895ec7f501c294df61b31b6be dm'
'zjk-laptop','zjk','2024-04-10 14:30:06','none','success','2e2a02b34ecce5a8f57283cfb0e0b0d8e33c16ea none'
'zjk-laptop','zjk','2024-04-10 16:54:10','none','success','9974e1fe1d570830634ccabde5497410ea823727 none'
